NAME_OF_DISTRICT_COUNCIL_DISTRICT_EN,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DISTRICT_TC,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DISTRICT_SC,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH,GeometryLongitude,GeometryLatitude
Central & Western,The Peak Galleria,"118 Peak Rd, The Peak",中西區,山頂廣場,山頂道118號,中西区,山顶广场,山顶道118号,0,3,0,0,0,0,0,0,2,Tesla Wall Connector,-,114.14943900000003,22.270535000000052
Central & Western,The Centrium,"60 Wyndham Street, Central",中西區,中央廣場,中環雲咸街60號,中西区,中央广场,中环云咸街60号,2,2,0,0,0,0,0,0,0,-,-,114.15465200000006,22.28061900000006
Central & Western,Three Garden Road Carpark,GARDEN ROAD,中西區,花園道三號停車場,花園道,中西区,花园道三号停车场,花园道,3,20,0,2,0,0,0,0,0,-,-,114.16126200000008,22.278653000000077
Central & Western,NEW WORLD TOWER,"QUEEN'S ROAD CENTRAL, CENTRAL & WESTERN",中西區,新世界大廈,中西區 皇后大道中,中西区,新世界大厦,中西区 皇后大道中,1,0,0,0,0,0,0,0,0,-,-,114.15693400000009,22.280323000000067
Central & Western,Star Ferry Car Park,"9 Edinburgh Place, Central, Hong Kong",中西區,天星停車場,香港中環愛丁堡廣場9號,中西区,天星停车场,香港中环爱丁堡广场9号,0,35,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.16044000000011,22.282755000000066
Central & Western,City Hall Car Park,"1 Edinburgh Place, Central, Hong Kong",中西區,大會堂停車場,香港中環愛丁堡廣場1號,中西区,大会堂停车场,香港中环爱丁堡广场1号,0,30,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.16214000000002,22.281911000000036
Central & Western,Rumsey Street Car Park,"2 Rumsey Street, Sheung Wan, Hong Kong",中西區,林士街停車場,香港上環林士街2號,中西区,林士街停车场,香港上环林士街2号,0,110,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.15322700000002,22.287408000000028
Central & Western,Queensway Government Offices,"No. 66 Queensway, Hong kong",中西區,金鐘道政府合署,香港金鐘道66號,中西区,金钟道政府合署,香港金钟道66号,0,48,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.16388700000005,22.277721000000042
Central & Western,One International Finance Centre,"1 Harbour View St, Central",中西區,國際金融中心一期,中環港景街1號,中西区,国际金融中心一期,中环港景街1号,0,1,0,0,0,0,0,0,0,-,-,114.15700000000004,22.285454000000072
Central & Western,TWO IFC (International Finance Centre) - IFC II,"FINANCE STREET, CENTRAL & WESTERN",中西區,國際金融中心二期,中西區 金融街,中西区,国际金融中心二期,中西区 金融街,0,0,0,0,3,3,20,0,3,-,-,114.1577390000001,22.285874000000035
Central & Western,Pacific Place,"88 Queensway, Hong Kong",中西區,太古廣場,香港金鐘道88號,中西区,太古广场,香港金钟道88号,0,0,0,0,0,3,10,0,4,-,-,114.16538200000002,22.277634000000035
Central & Western,Three Pacific Place,Wing Fung Street.,中西區,太古廣場三座,永豐街,中西区,太古广场三座,永丰街,0,0,0,0,0,0,4,0,0,-,-,114.16779300000007,22.276838000000055
Central & Western,WING ON CENTRE,"CONNAUGHT ROAD CENTRAL, CENTRAL & WESTERN",中西區,永安中心,中西區 干諾道中,中西区,永安中心,中西区 干诺道中,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-,114.1530130000001,22.286590000000047
Central & Western,Cheung Kong Center Car Park,"2 Queen's Road Central, Hong Kong",中西區,長江集團中心停車場,香港中環皇后大道中2號,中西区,长江集团中心停车场,香港中环皇后大道中2号,0,0,0,0,0,0,2,0,0,-,-,114.16011800000001,22.279207000000042
Central & Western,CITIC TOWER,"TIM MEI AVENUE, CENTRAL & WESTERN",中西區,中信大廈,中西區 添美道,中西区,中信大厦,中西区 添美道,0,0,0,0,0,0,0,0,3,Tesla Wall Connector,-,114.16716100000008,22.280631000000028
Central & Western,"Hong Kong University, Composite Building Car Park",Lung Fu Shan,中西區,香港大學綜合大樓停車場,龍虎山,中西区,香港大学综合大楼停车场,龙虎山,0,0,0,0,0,0,0,0,0,-,-,114.13599600000009,22.28334300000006
Central & Western,Island Pacific Hotel,"14, Centre Street",中西區,港島太平洋酒店,西營盤正街14號,中西区,港岛太平洋酒店,西营盘正街14号,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-,114.14236100000005,22.288181000000066
Central & Western,CENTRESTAGE,"HOLLYWOOD ROAD, CENTRAL & WESTERN",中西區,聚賢居,中西區 荷李活道,中西区,聚贤居,中西区 荷李活道,0,0,0,6,0,0,0,0,0,Tesla Wall Connector,-,114.15089200000011,22.28377000000006
Central & Western,Kwun Lun Lau,"20 Lung Wah St, Kennedy Town",中西區,觀龍樓,堅尼地城龍華街20號,中西区,观龙楼,坚尼地城龙华街20号,0,1,0,0,0,0,0,0,0,-,-,114.12850300000002,22.27989800000006
Central & Western,Sun Yat Sen Memorial Park Sports Centre,"18,Eastern Street North,Sai Ying Pun,Hong Kong ",中西區,中山紀念公園體育館,香港島西營盤東邊街北18號 ,中西区,中山纪念公园停车场(体育馆),西营盘东边街北18号,0,6,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.14355300000011,22.28979700000008
Central & Western,Sun Yat Sen Memorial Park,"16 Eastern Street North, Sai Ying Pun, Hong Kong",中西區,中山紀念公園,西營盤東邊街北16號,中西区,中山纪念公园停车场(游泳池),西营盘东边街北16号,0,12,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.14446900000007,22.289491000000055
Central & Western,ISLAND SHANGRI-LA HOTEL,"QUEENSWAY, CENTRAL & WESTERN",中西區,港島香格里拉大酒店,中西區 金鐘道,中西区,港岛香格里拉大酒店,中西区 金钟道,0,0,0,0,0,0,0,0,1,Tesla Wall Connector,-,114.16430900000012,22.27713600000004
Central & Western,Kennedy Town Car Park,"12 Rock Hill Street, Kennedy Town, Hong Kong",中西區,堅尼地城停車場,香港堅尼地城石山街12號,中西区,坚尼地城停车场,香港坚尼地城石山街12号,0,59,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.12897800000007,22.281790000000058
Central & Western,THE CENTER,"QUEEN'S ROAD CENTRAL, CENTRAL & WESTERN",中西區,中環中心,中西區 皇后大道中,中西区,中环中心,中西区 皇后大道中,0,6,0,0,0,0,0,0,0,-,-,114.15470200000004,22.28460400000006
Central & Western,MAN YEE BUILDING,"DES VOEUX ROAD CENTRAL, CENTRAL & WESTERN",中西區,萬宜大廈,中西區 德輔道中,中西区,万宜大厦,中西区 德辅道中,0,2,0,0,0,0,2,0,0,-,-,114.15614800000003,22.283656000000065
Central & Western,Cloudlands,"35-37 Plantation Rd, The Peak",中西區,雲嶺山莊,山頂種植道35-37號,中西区,云岭山庄,山顶种植道35-37号,0,4,0,0,0,0,0,0,0,-,-,114.15396200000009,22.26801000000006
Central & Western,Admiralty Car Park,"Rodney Street, Queensway, Admiralty",中西區,金鐘停車場,金鐘樂禮街,中西区,金钟停车场,金钟乐礼街,0,11,0,0,1,1,0,0,0,-,-,114.16585800000007,22.27841200000006
Central & Western,Grandview Garden Soho  ,"Grandview Garden Block 1, 18 Bridges St, Tai Ping Shan",中西區,雍翠臺 蘇豪,太平山必列者士街18號,中西区,雍翠台 苏豪,太平山必列者士街18号,0,0,0,6,0,0,0,0,4,Tesla Supercharger,-,114.15090000000009,22.28345900000005
Central & Western,Bank of China Tower,"1 Garden Rd, Central",中西區,中銀大廈,花園道1號,中西区,中银大厦,花园道1号,0,0,0,0,0,0,8,0,0,-,-,114.16171400000007,22.278865000000053
Central & Western,SHUN TAK CENTRE,"CONNAUGHT ROAD CENTRAL, CENTRAL & WESTERN",中西區,信德中心,中西區 干諾道中,中西区,信德中心,中西区 干诺道中,0,0,0,6,0,0,0,0,10,Tesla Supercharger,-,114.15182900000002,22.28793600000006
Central & Western,The Westwood,"The Westwood, Belcher's St, Kennedy Town",中西區,西寶城,"卑路乍街, 堅尼地城",中西区,西宝城,"卑路乍街, 坚尼地城",0,0,0,9,0,0,0,0,4,Tesla Supercharger,-,114.1336510000001,22.28422000000006
Central & Western,Two MacDonnell Road,Two MacDonnell Road,中西區,麥當勞道2號,香港半山麥當勞道2號,中西区,麦当劳道2号,香港半山麦当劳道2号,0,2,0,0,0,2,0,0,0,-,-,114.15578700000003,22.276012000000037
Central & Western,CHEUNG KONG CENTER II,"Hutchison House, 10 Harcourt Rd, Central",中西區,長江集團中心二期,中環夏愨道10號和記大廈,中西区,长江集团中心二期,中环夏悫道10号和记大厦,0,0,0,0,0,0,4,0,0,-,-,114.16257700000006,22.28114400000004
Eastern,Cityplaza Carpark,"Cityplaza, 18 Taikoo Shing Road, Tai Koo Shing, Hong Kong",東區,太古城中心停車場,香港太古城太古城道18號太古城中心,东区,太古城中心停车场,香港太古城太古城道18号太古城中心,0,0,0,0,0,2,30,0,0,-,-,114.21734600000002,22.28670500000004
Eastern,Electric Road 148,"148 Electric Road, North Point",東區,電氣道148號,北角電氣道148號,东区,电气道148号,北角电气道148号,2,0,0,0,0,0,0,0,0,-,-,114.19176600000003,22.28661900000003
Eastern,Cornell Centre,"50 Wing Tai Road, Chai Wan, Hong Kong",東區,港利中心,香港柴灣永泰道50號,东区,港利中心,香港柴湾永泰道50号,1,0,0,0,0,0,0,0,0,-,-,114.2428440000001,22.26746000000003
Eastern,Kerry Centre,"KING'S ROAD, EASTERN",東區,嘉里中心,東區 英皇道,东区,嘉里中心,东区 英皇道,0,4,0,0,0,0,0,0,0,-,-,114.20966600000008,22.290474000000074
Eastern,Island Resort,"28 Siu Sai Wan Road, Chai Wan",東區,藍灣半島,柴灣小西灣道28號,东区,蓝湾半岛,柴湾小西湾道28号,4,0,0,3,0,0,0,0,3,-,-,114.25089700000001,22.26633400000003
Eastern,Oxford House,"979 King's Road, Quarry Bay, Hong Kong",東區,濠豐大廈,香港鰂魚涌太古坊英皇道979號,东区,濠丰大厦,香港鰂鱼涌太古坊英皇道979号,2,0,0,0,0,0,0,0,0,-,-,114.21350900000004,22.287157000000036
Eastern,Dorset House and PCCW Tower,"979 King's Road, Quarry Bay, Hong Kong",東區,多盛大廈及電訊盈科中心,香港鰂魚涌太古坊英皇道979號,东区,多盛大厦及电讯盈科中心,香港鰂鱼涌太古坊英皇道979号,2,0,0,0,0,0,3,0,0,-,-,114.2120000000001,22.287090000000035
Eastern,One Island East,"18 Westlands Rd, Quarry Bay",東區,港島東中心,鰂魚涌華蘭路18號,东区,港岛东中心,鲗鱼涌华兰路18号,1,0,0,0,0,0,0,0,0,-,-,114.21301900000003,22.28649900000005
Eastern,Kornhill Plaza (south),Hong On Street,東區,康怡廣場 (南),康安街,东区,康怡广场 (南),康安街,0,0,0,0,0,0,0,0,1,Tesla Wall Connector,-,114.2170470000001,22.284291000000053
Eastern,Kornhill Plaza,"2 Kornhill Road, Quarry Bay, Hong Kong",東區,康怡廣場,康山道2號 鰂魚涌,东区,康怡广场,康山道2号 鰂鱼涌,0,2,0,0,0,4,0,0,0,-,-,114.2163700000001,22.28399500000006
Eastern,Trend Centre,"CHEUNG LEE STREET, EASTERN",東區,國貿中心,東區 祥利街,东区,国贸中心,东区 祥利街,1,0,0,0,0,0,0,0,0,-,-,114.23532100000011,22.265359000000046
Eastern,North Point Government Offices,"No. 333 Java Road, North Point, Hong Kong",東區,北角政府合署,香港北角渣華道333號,东区,北角政府合署,香港北角渣华道333号,0,29,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.20836600000007,22.29232600000006
Eastern,Shau Kei Wan Car Park,1 Po Man Street,東區,筲箕灣停車場,寶文街1號,东区,筲箕湾停车场,香港筲箕湾宝文街1号,0,116,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.22955400000001,22.278703000000064
Eastern,Paradise Mall Carpark,"100 SHING TAI ROAD, Eastern District, Hong Kong",東區,杏花新城停車場,香港 東區 盛泰道100號,东区,杏花新城停车场,香港 东区 盛泰道100号,0,0,0,0,0,0,3,0,2,-,-,114.23889700000007,22.278001000000074
Eastern,Lai Tak Tsuen,"LAI TAK TSUEN ROAD, EASTERN",東區,勵德邨,東區 勵德邨道,东区,励德邨,东区 励德邨道,0,2,0,0,0,0,0,0,0,-,-,114.19392300000004,22.278816000000063
Eastern,Hing Wah Plaza,"11 Wan Tsui Rd, Chai Wan",東區,興華廣場,柴灣環翠道11號,东区,兴华广场,柴湾环翠道11号,0,12,0,0,0,4,0,0,0,-,-,114.23466500000006,22.263163000000077
Eastern,Lincoln House,"979 King's Road, Quarry Bay, Hong Kong",東區,林肯大廈,香港鰂魚涌太古坊英皇道979號,东区,林肯大厦,香港鰂鱼涌太古坊英皇道979号,0,0,0,0,0,0,0,0,4,Tesla Supercharger,-,114.21223200000009,22.287686000000065
Eastern,Berkshire House,"25 Westlands Road, Quarry Bay, Hong Kong",東區,柏克大廈,香港鰂魚涌華蘭路25號,东区,柏克大厦,香港鰂鱼涌华兰路25号,0,7,0,0,0,0,0,0,0,-,-,114.21331000000009,22.287580000000048
Eastern,HEALTHY GARDENS,"KING'S ROAD, EASTERN",東區,健威花園,東區 英皇道,东区,健威花园,东区 英皇道,0,0,0,18,0,0,0,0,0,Tesla Wall Connector,-,114.20331800000008,22.29149300000006
Eastern,City Garden Hotel,Power Street,東區,城市花園酒店,北角大強街,东区,城市花园酒店,北角大强街,0,0,0,0,0,0,0,0,1,Tesla Wall Connector,-,114.19386400000008,22.290055000000052
Eastern,Smiling Shau Kei Wan Plaza,"17, Nam On St, Shau Kei Wan",東區,天悅筲箕灣廣場,筲箕灣南安街17號,东区,天悦筲箕湾广场,筲箕湾南安街17号,0,0,0,0,0,0,6,0,0,-,-,114.22626900000012,22.278036000000043
Eastern,Cheerful Garden,Fu Yee Rd,東區,富怡花園,小西灣富怡道,东区,富怡花园,小西湾富怡道,0,1,0,0,0,0,1,0,0,-,-,114.2505020000001,22.26375900000005
Eastern,Harbour Grand Hong Kong,"18 King Wah Rd, North Point",東區,港島海逸君綽酒店,北角京華道18號,东区,港岛海逸君绰酒店,北角京华道18号,0,0,0,0,0,0,2,0,0,-,-,114.19180600000004,22.288677000000064
Eastern,Grand Promenade,"38 Tai Hong Street, Sai Wan Ho",東區,嘉亨灣,西灣河太康街38號,东区,嘉亨湾,西湾河太康街38号,0,3,0,0,0,0,0,0,0,-,-,114.2244720000001,22.285368000000062
Eastern,King's Road 1063,"16 Shipyard Ln, Quarry Bay",東區,英皇道1063號,鰂魚涌船塢里16號,东区,英皇道1063号,鲗鱼涌船坞里16号,0,4,0,0,0,0,0,0,0,-,-,114.21377100000007,22.285451000000023
Eastern,K11 ATELIER KING'S ROAD,728 KING'S ROAD,東區,K11 ATELIER KING'S ROAD,英皇道728號,东区,K11 ATELIER KING'S ROAD,英皇道728号,0,4,0,5,0,2,0,0,4,Tesla Supercharger,-,114.20749300000011,22.291217000000074
Eastern,The Tanner Hill,"TANNER ROAD, EASTERN",東區,雋悅,東區 丹拿道,东区,隽悦,东区 丹拿道,0,1,0,0,0,0,0,0,0,-,-,114.20113400000002,22.289873000000057
Eastern,Harmony Place,NAM ON STREET,東區,樂融軒,東區 南安街,东区,乐融轩,东区 南安街,0,19,0,0,0,0,0,0,0,-,-,114.22715800000003,22.278151000000037
Eastern,HING MAN ESTATE,"HING MAN STREET, EASTERN",東區,興民邨,東區 興民街,东区,兴民邨,东区 兴民街,0,0,0,0,0,0,0,0,2,Tesla Wall Connector,-,114.23281700000007,22.267844000000025
Eastern,Siu Sai Wan Sports Ground,"8 Fu Hong Street, Siu Sai Wan",東區,小西灣運動場停車場,小西灣富康街8號,东区,小西湾运动场停车场,小西湾富康街8号,0,15,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.24790800000005,22.267510000000073
Eastern,Island East Sports Center,"52 Lei King Road, Sai Wan Ho, Hong Kong",東區,港島東體育館停車場,香港西灣河鯉景道52號,东区,港岛东体育馆停车场,香港西湾河鲤景道52号,0,19,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.2223590000001,22.28487000000007
Eastern,Island Place,"60-36 Tanner Rd, North Point",東區,港運城,北角丹拿道60-36號,东区,港运城,北角丹拿道60-36号,0,0,0,0,0,0,6,0,0,-,-,114.2029060000001,22.290819000000056
Eastern,Hing Tung Car Park ,"Hing Tung Shopping Centre, 55 Yiu Hing Road, Shau Kei Wan, Hong Kong",東區,興東停車場,香港筲箕灣耀興道55號興東商場,东区,兴东停车场,香港筲箕湾耀兴道55号兴东商场,0,45,0,0,0,0,0,0,0,-,-,114.22007200000007,22.280490000000043
Eastern,Carrus Customs,"15, Ching Wah St, North Point",東區,Carrus Customs,北角清華街15號,东区,Carrus Customs,北角清华街15号,0,1,0,0,0,0,0,0,0,-,-,114.19775300000003,22.289067000000045
Eastern,Pamela Youde Nethersole Eastern Hospital Visitor Car Park,"3 LOK MAN ROAD, CHAI WAN, HONG KONG",東區,東區尤德夫人那打素醫院訪客停車場,香港柴灣樂民道3號,东区,东区尤德夫人那打素医院访客停车场,香港柴湾乐民道3号,0,1,0,0,0,0,0,0,0,-,-,114.2350110000001,22.269284000000027
Eastern,Two Taikoo Place,"53A Pan Hoi St, Quarry Bay",東區,太古坊二座,鰂魚涌濱海街53A號,东区,太古坊二座,鲗鱼涌滨海街53A号,0,18,0,6,0,0,0,0,3,Tesla Wall Connector / Supercharger,-,114.2115520000001,22.28673200000003
Eastern,Wan Tsui Car Park ,"Wan Tsui Commercial Complex, 2 Wah Ha Street, Chai Wan, Hong Kong",東區,環翠停車場,香港柴灣華廈街2號環翠商場,东区,环翠停车场,香港柴湾华厦街2号环翠商场,0,36,0,0,0,0,0,0,0,-,-,114.23682600000006,22.261888000000056
Eastern,Devon House,"979 King's Road, Quarry Bay, Hong Kong",東區,德宏大廈,香港鰂魚涌太古坊英皇道979號,东区,德宏大厦,香港鰂鱼涌太古坊英皇道979号,0,10,0,0,0,0,0,0,0,-,-,114.21106000000009,22.28718900000007
Eastern,Healthy Village I & II,"192 Tsat Tsz Mui Rd, Tsat Tsz Mui",東區,健康村 I & II,北角七姊妹道 192號,东区,健康村 I & II,北角七姊妹道 192号,0,2,0,0,0,0,0,0,0,-,-,114.20623200000011,22.291432000000043
Eastern,Ming Wah Dai Ha,"1 A Kung Ngam Rd, Shau Kei Wan",東區,明華大廈,筲箕灣阿公岩道1號,东区,明华大厦,筲箕湾阿公岩道1号,0,21,0,0,0,0,0,0,0,-,-,114.23110900000006,22.276227000000063
Eastern,Marina House,"32 Hoi An St, Shau Kei Wan",東區,海天廣場,32 海晏街,东区,海天广场,32 海晏街,1,0,0,0,0,0,0,0,0,-,-,114.22413700000004,22.280790000000025
Eastern,DIP TSUI COURT,388 CHAI WAN ROAD,東區,蝶翠苑,柴灣柴灣道388號,东区,蝶翠苑,柴湾柴湾道388号,3,0,0,0,0,0,0,0,0,-,-,114.24377100000004,22.265284000000065
Eastern,HANG TSUI COURT,"TSUI WAN STREET, EASTERN",東區,杏翠苑,東區 翠灣街,东区,杏翠苑,东区 翠湾街,3,0,0,0,0,0,0,0,0,-,-,114.24191900000005,22.26754200000005
Eastern,YEE TSUI COURT,"YEE SHUN STREET, EASTERN",東區,怡翠苑,東區 怡順街,东区,怡翠苑,东区 怡顺街,2,0,0,0,0,0,0,0,0,-,-,114.23918300000003,22.265112000000045
Eastern,Yiu Tung Shopping Centre Car Park,"Yiu Tung Shopping Centre, 12 Yiu Hing Road, Shau Kei Wan, Hong Kong",東區,耀東商場停車場,香港筲箕灣耀興道12號耀東商場,东区,耀东商场停车场,香港筲箕湾耀兴道12号耀东商场,0,2,0,0,0,0,0,0,0,-,-,114.2235710000001,22.277304000000072
Eastern,AIA TOWER,"183 Electric Road, North Point",東區,友邦廣場,北角電氣道183號,东区,友邦广场,北角电气道183号,0,12,0,0,0,2,0,0,0,-,-,114.19255800000008,22.288479000000052
Eastern,Siu Sai Wan Phase 1 Car Park ,"Siu Sai Wan Plaza, 10 Siu Sai Wan Road, Siu Sai Wan, Hong Kong",東區,小西灣一期停車場,香港小西灣小西灣道10號小西灣廣場,东区,小西湾一期停车场,香港小西湾小西湾道10号小西湾广场,0,12,0,0,0,0,0,0,0,-,-,114.24862100000007,22.262853000000064
Southern,Cyberport Carpark 1 & 2,"100 Cyberport Rd, Telegraph Bay, Southern District",南區,數碼港停車場(一&二),南區鋼綫灣數碼港道100號,南区,数码港停车场(一&二),南区钢綫湾数码港道100号,0,0,0,3,0,0,0,0,9,-,-,114.13017100000002,22.262076000000036
Southern,Cyberport Carpark 3,"100 Cyberport Rd, Telegraph Bay, Southern District",南區,數碼港停車場(三),南區鋼綫灣數碼港道100號,南区,数码港停车场(三),南区钢綫湾数码港道100号,0,0,0,6,0,0,2,0,9,-,-,114.13169300000004,22.259596000000045
Southern,Stanley Plaza Car Park ,"Stanley Plaza, 23 Carmel Road, Stanley, Hong Kong",南區,赤柱廣場停車場,香港赤柱佳美道23號赤柱廣場,南区,赤柱广场停车场,香港赤柱佳美道23号赤柱广场,0,28,0,0,0,6,0,0,0,-,-,114.20890000000009,22.220330000000047
Southern,The Pulse,"BEACH ROAD, SOUTHERN",南區,The Pulse,南區 海灘道,南区,The Pulse,南区 海滩道,0,1,0,0,0,1,0,0,6,-,-,114.19828100000007,22.235460000000046
Southern,L'hotel Island South,11 Tong Bin Ln,南區,如心南灣海景酒店,黃竹坑塘邊徑11號,南区,如心南湾海景酒店,黄竹坑塘边径11号,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-,114.16798800000004,22.250012000000027
Southern,One Island South,"HEUNG YIP ROAD, SOUTHERN",南區,One Island South,南區 香葉道,南区,One Island South,南区 香叶道,2,0,0,0,0,0,0,0,0,-,-,114.16878300000008,22.248849000000064
Southern,OCEAN PARK,"180 WONG CHUK HANG ROAD, Southern District, Hong Kong",南區,香港海洋公園,香港 南區 黃竹坑道180號,南区,香港海洋公园,香港 南区 黄竹坑道180号,0,1,0,0,0,0,0,0,0,-,-,114.17468200000008,22.248215000000073
Southern,Upper Baguio Villa,"Victoria Rd, Pok Fu Lam",南區,上碧瑤灣,薄扶林域多利道,南区,上碧瑶湾,薄扶林域多利道,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-,114.13345300000003,22.261979000000053
Southern,TIN WAN ESTATE CAR PARK,"TIN WAN STREET, SOUTHERN",南區,田灣邨多層停車場,南區 田灣街,南区,田湾邨多层停车场,南区 田湾街,0,0,0,4,0,0,0,0,0,Tesla Wall Connector,-,114.14944500000001,22.25061900000003
Southern,Chi Fu Landmark,Chi Fu Road,南區,置富南區廣場,薄扶林置富道,南区,置富南区广场,薄扶林置富道,2,0,0,0,0,0,2,0,0,-,-,114.13895100000002,22.25799500000005
Southern,The Hong Kong Ocean Park Marriott Hotel,"WONG CHUK HANG ROAD, SOUTHERN",南區,香港海洋公園萬豪酒店,南區 黃竹坑道,南区,香港海洋公园万豪酒店,南区 黄竹坑道,0,0,0,0,0,0,0,0,0,Tesla Wall Connector,-,114.17586600000004,22.247730000000047
Southern,Ap Lei Chau Waterfront Promenade,"No.8 Hung Shing Street, Ap Lei Chau, Hong Kong.",南區,鴨脷洲海濱長廊,鴨脷洲洪聖街8號,南区,鸭脷洲海滨长廊,鸭脷洲洪圣街8号,0,6,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.15533400000004,22.244890000000055
Southern,KAM FUNG BUILDING,"ABERDEEN MAIN ROAD, SOUTHERN",南區,金豐大廈,南區 香港仔大道,南区,金丰大厦,南区 香港仔大道,0,2,0,0,0,0,0,0,0,-,-,114.15543500000001,22.248662000000024
Southern,Deep Water Bay Carpark,"Island Road, Deep Water Bay",南區,深水灣泳灘停車場,深水灣香島道,南区,深水湾泳滩停车场,深水湾香岛道,0,3,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.18841600000007,22.24439200000006
Southern,Bel-Air (Phase 1 & 2),"Residence Bel-air Club Bel-air (bay Wing), 48 Bel-air Ave, Telegraph Bay",南區,貝沙灣1 & 2期,薄扶林貝沙灣道48號,南区,贝沙湾1 &amp; 2期,薄扶林贝沙湾道48号,0,2,0,0,0,0,0,0,0,-,-,114.13196500000004,22.257882000000052
Southern,Bel-Air (Phase 4),"8 Bel-air Peak Ave, Telegraph Bay",南區,貝沙灣4期,鋼綫灣貝沙山道8號,南区,贝沙湾4期,钢线湾贝沙山道8号,0,2,0,0,0,0,0,0,0,-,-,114.13369100000011,22.25432900000004
Southern,Bel-Air (Phase 6),"8 Bel-air Peak Ave, Telegraph Bay",南區,貝沙灣6期,Bel-Air (Phase 6) 貝沙灣6期,南区,贝沙湾6期,Bel-Air (Phase 6) 贝沙湾6期,0,2,0,0,0,0,0,0,0,-,-,114.13369100000011,22.25432900000004
Southern,Aberdeen Car Park,"18 Aberdeen Reservoir Road, Aberdeen, Hong Kong",南區,香港仔停車場,香港仔香港仔水塘道18號,南区,香港仔停车场,香港仔香港仔水塘道18号,0,44,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.1566180000001,22.25027300000005
Southern,Shek Pai Wan Estate Car Park,"Shek Pai Wan, Yue Kwong Road, Aberdeen, Hong Kong",南區,石排灣邨停車場,香港仔石排灣漁光道,南区,石排湾邨停车场,香港仔石排湾渔光道,0,16,0,0,0,0,0,0,0,-,-,114.15856900000006,22.249210000000062
Southern,Fullerton Ocean Park Hotel,"3 Ocean Dr, Wong Chuk Hang",南區,香港富麗敦海洋公園酒店,香港仔海洋徑3號,南区,香港富丽敦海洋公园酒店,香港仔海洋径3号,0,7,0,0,0,0,0,0,3,Tesla Supercharger,-,114.16539100000011,22.236556000000064
Southern,Landmark South,39 Yip Kan St ,南區,Landmark South,黃竹坑業勤街39號,南区,Landmark South,黄竹坑业勤街39号,0,110,0,0,2,2,0,0,3,Tesla Supercharger,-,114.16682300000002,22.249322000000063
Southern,RED HILL PLAZA,"RED HILL ROAD, SOUTHERN",南區,紅山廣場,南區 紅山道,南区,红山广场,南区 红山道,0,0,0,2,0,0,0,0,0,Tesla Wall Connector,-,114.22323200000005,22.236528000000078
Southern,The Southside,"11 Heung Yip Rd, Wong Chuk Hang",南區,The Southside,黃竹坑香葉道11號,南区,The Southside,黄竹坑香叶道11号,0,232,0,0,0,0,0,0,3,Tesla Supercharger,-,114.16647000000012,22.247176000000024
Southern,S22,22 Heung Yip Rd,南區,S22,香葉道22號,南区,S22,香叶道22号,0,0,0,0,2,2,2,0,0,-,-,114.16578300000003,22.247795000000053
Southern,MARINA HABITAT,"YUET HOI STREET, SOUTHERN",南區,悅海華庭,南區 悅海街,南区,悦海华庭,南区 悦海街,0,5,0,0,0,0,0,0,0,-,-,114.15468900000008,22.244336000000033
