NAME_OF_DISTRICT_COUNCIL_DISTRICT_EN,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DISTRICT_TC,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DISTRICT_SC,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH,GeometryLongitude,GeometryLatitude
ShaTin,Ka Tin Car Park,"Ka Tin Court Car Park, 2-8 Hin Tin Street, Tai Wai,  ShaTin, New Territories",沙田區,嘉田停車場,新界沙田大圍顯田街2-8號嘉田苑停車場,沙田区,嘉田停车场,新界沙田大围显田街2-8号嘉田苑停车场,0,3,0,0,0,0,0,0,0,-,-,114.17337000000009,22.36025200000006
ShaTin,KAM YING COURT,"MA ON SHAN ROAD, SHATIN",沙田區,錦英苑,沙田 馬鞍山路,沙田区,锦英苑,沙田 马鞍山路,0,0,0,0,0,2,0,0,0,-,-,114.2355970000001,22.42212500000005
ShaTin,Kwong Yuen Shopping Centre,"Kwong Yuen Shopping Centre 68 Siu Lek Yuen Road Sha Tin, New Territories",沙田區,廣源商場,新界沙田小瀝源路68號,沙田区,广源商场,新界沙田小沥源路68号,0,57,0,0,0,0,0,0,0,-,-,114.21566400000006,22.38127700000007
ShaTin,Harry Industrial Building,49 Au Pui Wan Street Fo Tan,沙田區,火炭協力工業大廈,火炭坳背灣街49號協力工業大廈,沙田区,火炭协力工业大厦,火炭坳背湾街49号协力工业大厦,0,0,0,3,0,0,0,0,0,Tesla Wall Connector,-,114.19383600000003,22.398462000000052
ShaTin,Fortune City One Plus Car Park,"1-2 Ngan Shing Street, Shatin, NT",沙田區,置富第一城-樂薈停車場,新界沙田銀城街1-2號,沙田区,置富第一城-乐荟停车场,新界沙田银城街1-2号,0,2,0,0,0,2,0,0,0,-,-,114.20270500000004,22.387218000000075
ShaTin,Kam On Carpark,"20 Hang Kam St, Ma On Shan",沙田區,錦鞍停車場,馬鞍山恆錦街20號,沙田区,锦鞍停车场,马鞍山恒锦街20号,0,24,0,0,0,0,0,0,0,-,-,114.2267270000001,22.41673600000007
ShaTin,Sun Chui Car Park ,"Sun Chui Shopping Centre, 2 Chui Tin 
Street, Tai Wai, ShaTin, New Territories",沙田區,新翠停車場,新界沙田大圍翠田街2號新翠商場,沙田区,新翠停车场,新界沙田大围翠田街2号新翠商场,0,18,0,0,0,0,0,0,0,-,-,114.18275100000005,22.370813000000055
Yuen Long,Fu Shing Building,"9 Sai Ching Street, Yuen Long",元朗區,富盛大廈,元朗西菁街9號,元朗区,富盛大厦,元朗西菁街9号,0,0,0,0,0,0,3,0,0,-,-,114.02753700000005,22.442183000000057
Yuen Long,Tin Shing Car Park A,"Tin Shing Shopping Centre, 3 Tin Ching Street, Tin Shui Wai, Yuen Long, New Territories",元朗區,天盛A停車場,新界元朗天水圍天靖街3號天盛商場,元朗区,天盛A停车场,新界元朗天水围天靖街3号天盛商场,0,47,0,6,1,1,1,0,4,-,-,114.00313600000004,22.44822400000004
Yuen Long,Golden Plaza,"28 Shui Che Kwun Street, Yuen Long",元朗區,萬金中心,元朗水車館街28號,元朗区, 万金中心,元朗水车馆街28号,0,2,0,0,0,2,0,0,0,-,-,114.03144600000007,22.44509400000004
